All Combinations
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 3pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Med Royal, 2pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 2pcs Med Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 3pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Reg Royal, 2pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Reg Royal, 1pcs Med Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Reg Royal, 2pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 2pcs Reg Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 2pcs Reg Royal, 1pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 3pcs Reg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Lrg Sprite, 2pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Lrg Sprite, 1pcs Med Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Lrg Sprite, 2pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Lrg Sprite, 1pcs Reg Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Lrg Sprite, 1pcs Reg Royal, 1pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Lrg Sprite, 2pcs Reg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 2pcs Lrg Sprite, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 2pcs Lrg Sprite, 1pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 2pcs Lrg Sprite, 1pcs Reg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 3pcs Lrg Sprite
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Med Sprite, 2pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Med Sprite, 1pcs Med Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Med Sprite, 2pcs Med Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Med Sprite, 1pcs Reg Royal, 1pcs Lrg Royal
6pcs Spicy - 3pcs Cajun Rice - 3pcs Spaghetti - 1pcs Med Sprite, 1pcs Reg Royal, 1pcs Med Royal
